crime,cod_ibge,municipio,taxa_por_1000,moran_local_Ii,p_valor,cluster,litoranea_turistica
Roubo (art. 157),3520004,Igaraçu do Tietê,0.303,0.1074,0.47,Não significativo,0
Roubo (art. 157),3520103,Igarapava,0.496,0.0473,0.594,Não significativo,0
Roubo (art. 157),3520202,Igaratá,2.169,0.4026,0.364,Não significativo,0
Roubo (art. 157),3520301,Iguape,0.343,-0.1676,0.098,Não significativo,1
Roubo (art. 157),3520400,Ilhabela,0.573,-0,NA,Baixo-Alto,1
Roubo (art. 157),3520426,Ilha Comprida,1.341,-0.1471,0.876,Não significativo,1
Roubo (art. 157),3520442,Ilha Solteira,0.235,0.1667,0.082,Não significativo,0
Roubo (art. 157),3520509,Indaiatuba,0.567,-0.0512,0.238,Não significativo,0
Roubo (art. 157),3520608,Indiana,0,0.2382,0.198,Não significativo,0
Roubo (art. 157),3520707,Indiaporã,0,0.2387,0.166,Não significativo,0
Roubo (art. 157),3520806,Inúbia Paulista,0,0.2448,0.146,Não significativo,0
Roubo (art. 157),3520905,Ipaussu,0,0.2337,0.142,Não significativo,0
Roubo (art. 157),3521002,Iperó,0.549,-0.0315,0.448,Não significativo,0
Roubo (art. 157),3521101,Ipeúna,0.586,-0.0205,0.392,Não significativo,0
Roubo (art. 157),3521150,Ipiguá,0,0.086,0.928,Não significativo,0
Roubo (art. 157),3521200,Iporanga,0.247,0.0502,0.96,Não significativo,0
Roubo (art. 157),3521309,Ipuã,0.899,-7e-4,0.736,Não significativo,0
Roubo (art. 157),3521408,Iracemápolis,0.728,0.0097,0.38,Não significativo,0
Roubo (art. 157),3521507,Irapuã,0.146,0.1594,0.31,Não significativo,0
Roubo (art. 157),3521606,Irapuru,0,0.2808,0.024,Baixo-Baixo,0
Roubo (art. 157),3521705,Itaberá,0.167,0.1323,0.392,Não significativo,0
Roubo (art. 157),3521804,Itaí,0.397,0.0889,0.1,Não significativo,0
Roubo (art. 157),3521903,Itajobi,0.235,0.1455,0.118,Não significativo,0
Roubo (art. 157),3522000,Itaju,0.829,-0.0343,0.55,Não significativo,0
Roubo (art. 157),3522109,Itanhaém,3.138,6.3433,0.002,Alto-Alto,1
Roubo (art. 157),3522158,Itaoca,0,0.2571,0.182,Não significativo,0
Roubo (art. 157),3522208,Itapecerica da Serra,10.118,30.1417,0.002,Alto-Alto,0
Roubo (art. 157),3522307,Itapetininga,0.665,0.0066,0.366,Não significativo,0
Roubo (art. 157),3522406,Itapeva,0.446,0.0605,0.308,Não significativo,0
Roubo (art. 157),3522505,Itapevi,4.425,3.5241,0.022,Alto-Alto,0
Roubo (art. 157),3522604,Itapira,0.625,-0.0016,0.784,Não significativo,0
Roubo (art. 157),3522653,Itapirapuã Paulista,0,0.2627,0.23,Não significativo,0
Roubo (art. 157),3522703,Itápolis,0.329,0.0908,0.3,Não significativo,0
Roubo (art. 157),3522802,Itaporanga,0.142,0.1895,0.148,Não significativo,0
Roubo (art. 157),3522901,Itapuí,0.22,0.0828,0.894,Não significativo,0
Roubo (art. 157),3523008,Itapura,0,0.2219,0.336,Não significativo,0
Roubo (art. 157),3523107,Itaquaquecetuba,6.215,15.8257,0.002,Alto-Alto,0
Roubo (art. 157),3523206,Itararé,0.45,0.0631,0.47,Não significativo,0
Roubo (art. 157),3523305,Itariri,0.515,-0.0622,0.276,Não significativo,0
Roubo (art. 157),3523404,Itatiba,1.447,0.1309,0.486,Não significativo,0
Roubo (art. 157),3523503,Itatinga,0.42,0.0713,0.394,Não significativo,0
Roubo (art. 157),3523602,Itirapina,0.495,-0.024,0.558,Não significativo,0
Roubo (art. 157),3523701,Itirapuã,0.692,0.0012,0.776,Não significativo,0
Roubo (art. 157),3523800,Itobi,0.373,0.088,0.464,Não significativo,0
Roubo (art. 157),3523909,Itu,1.005,0.0735,0.358,Não significativo,0
Roubo (art. 157),3524006,Itupeva,1.076,0.1835,0.168,Não significativo,0
Roubo (art. 157),3524105,Ituverava,0.772,-0.011,0.81,Não significativo,0
Roubo (art. 157),3524204,Jaborandi,0.161,0.0494,0.836,Não significativo,0
Roubo (art. 157),3524303,Jaboticabal,1.183,-0.0419,0.926,Não significativo,0
Roubo (art. 157),3524402,Jacareí,1.215,0.1219,0.36,Não significativo,0
Roubo (art. 157),3524501,Jaci,0,0.2059,0.396,Não significativo,0
Roubo (art. 157),3524600,Jacupiranga,0.373,-0.0103,0.656,Não significativo,0
Roubo (art. 157),3524709,Jaguariúna,1.331,0.2308,0.306,Não significativo,0
Roubo (art. 157),3524808,Jales,0.308,0.1564,0.006,Baixo-Baixo,0
Roubo (art. 157),3524907,Jambeiro,0.313,-0.0545,0.524,Não significativo,0
Roubo (art. 157),3525003,Jandira,2.414,4.2083,0.004,Alto-Alto,0
Roubo (art. 157),3525102,Jardinópolis,1.745,0.0692,0.562,Não significativo,0
Roubo (art. 157),3525201,Jarinu,1.226,0.2645,0.228,Não significativo,0
