cod_ibge,municipio,populacao,renda,n_roubo,n_furto,n_lesao,taxa_roubo_1000,taxa_furto_1000,taxa_lesao_1000
3518206,Guararapes,31043,2460.39,13,190,88,0.419,6.121,2.835
3518305,Guararema,31236,2570.66,41,246,180,1.313,7.876,5.763
3518404,Guaratinguetá,118044,2916.78,151,849,403,1.279,7.192,3.414
3518503,Guareí,15013,1995.05,0,54,49,0,3.597,3.264
3518602,Guariba,37498,2299.65,46,206,106,1.227,5.494,2.827
3518701,Guarujá,287634,2409.92,1423,4116,1091,4.947,14.31,3.793
3518800,Guarulhos,1291771,2971.75,6023,17660,4361,4.663,13.671,3.376
3518859,Guatapará,7320,2489.94,3,64,41,0.41,8.743,5.601
3518909,Guzolândia,4246,1928.64,0,19,35,0,4.475,8.243
3519006,Herculândia,9125,2051.25,2,56,36,0.219,6.137,3.945
3519055,Holambra,15094,3991.87,3,99,35,0.199,6.559,2.319
3519071,Hortolândia,236641,2775.67,594,2384,770,2.51,10.074,3.254
3519105,Iacanga,10437,2342.11,4,128,69,0.383,12.264,6.611
3519204,Iacri,6131,2162.83,0,24,21,0,3.915,3.425
3519253,Iaras,8010,2127.3,1,31,32,0.125,3.87,3.995
3519303,Ibaté,32178,2179.64,20,238,139,0.622,7.396,4.32
3519402,Ibirá,11690,2624.15,1,56,41,0.086,4.79,3.507
3519501,Ibirarema,6385,2158.97,1,30,42,0.157,4.699,6.578
3519600,Ibitinga,60033,2167.32,14,646,359,0.233,10.761,5.98
3519709,Ibiúna,75605,2251.47,97,568,350,1.283,7.513,4.629
3519808,Icém,7819,2318.11,3,43,44,0.384,5.499,5.627
3519907,Iepê,7619,2281.92,0,31,28,0,4.069,3.675
3520004,Igaraçu do Tietê,23106,2174.89,7,207,106,0.303,8.959,4.588
3520103,Igarapava,26212,2367.37,13,259,110,0.496,9.881,4.197
3520202,Igaratá,10605,2235.05,23,105,48,2.169,9.901,4.526
3520301,Iguape,29115,2083.83,10,278,152,0.343,9.548,5.221
3520400,Ilhabela,34934,2964.54,20,545,297,0.573,15.601,8.502
3520426,Ilha Comprida,13419,2194,18,355,93,1.341,26.455,6.93
3520442,Ilha Solteira,25549,3096.91,6,286,103,0.235,11.194,4.031
3520509,Indaiatuba,255748,4320.19,145,1647,970,0.567,6.44,3.793
3520608,Indiana,5090,2421.69,0,14,27,0,2.75,5.305
3520707,Indiaporã,4035,2393.21,0,46,24,0,11.4,5.948
3520806,Inúbia Paulista,3615,2082.97,0,4,15,0,1.107,4.149
3520905,Ipaussu,13712,2297.54,0,75,53,0,5.47,3.865
3521002,Iperó,36459,2141.67,20,204,134,0.549,5.595,3.675
3521101,Ipeúna,6831,2525.9,4,47,23,0.586,6.88,3.367
3521150,Ipiguá,6761,2233.73,0,40,35,0,5.916,5.177
3521200,Iporanga,4046,1843.56,1,60,11,0.247,14.829,2.719
3521309,Ipuã,14454,2158.29,13,147,79,0.899,10.17,5.466
3521408,Iracemápolis,21967,2844.85,16,130,88,0.728,5.918,4.006
3521507,Irapuã,6867,2083.34,1,41,36,0.146,5.971,5.242
3521606,Irapuru,7085,2204.63,0,24,46,0,3.387,6.493
3521705,Itaberá,17983,2205.71,3,84,96,0.167,4.671,5.338
3521804,Itaí,25180,2385.91,10,111,104,0.397,4.408,4.13
3521903,Itajobi,16989,2480.78,4,124,72,0.235,7.299,4.238
3522000,Itaju,3618,2170.74,3,19,13,0.829,5.252,3.593
3522109,Itanhaém,112476,2320.88,353,3143,548,3.138,27.944,4.872
3522158,Itaoca,3422,1778.3,0,13,6,0,3.799,1.753
3522208,Itapecerica da Serra,158522,2272.31,1604,1624,546,10.118,10.245,3.444
3522307,Itapetininga,157790,2655.81,105,1504,715,0.665,9.532,4.531
3522406,Itapeva,89728,2415.11,40,600,383,0.446,6.687,4.268
3522505,Itapevi,232297,2268.15,1028,2024,865,4.425,8.713,3.724
3522604,Itapira,72022,2845.05,45,460,234,0.625,6.387,3.249
3522653,Itapirapuã Paulista,4306,1810.99,0,7,11,0,1.626,2.555
3522703,Itápolis,39493,2488.2,13,349,187,0.329,8.837,4.735
3522802,Itaporanga,14085,2112.71,2,62,48,0.142,4.402,3.408
3522901,Itapuí,13659,2141.98,3,112,81,0.22,8.2,5.93
3523008,Itapura,3979,2029.97,0,36,22,0,9.047,5.529
3523107,Itaquaquecetuba,369275,2027.38,2295,3366,1180,6.215,9.115,3.195
3523206,Itararé,44438,2209.6,20,238,248,0.45,5.356,5.581
3523305,Itariri,15528,1803.58,8,134,81,0.515,8.63,5.216
3523404,Itatiba,121590,3547.97,176,776,369,1.447,6.382,3.035
3523503,Itatinga,19070,2268.89,8,116,78,0.42,6.083,4.09
3523602,Itirapina,16148,2455.67,8,129,66,0.495,7.989,4.087
3523701,Itirapuã,5779,1821.13,4,42,22,0.692,7.268,3.807
3523800,Itobi,8046,2056.6,3,37,42,0.373,4.599,5.22
3523909,Itu,168240,3008.67,169,1578,532,1.005,9.379,3.162
3524006,Itupeva,70616,3472.49,76,478,251,1.076,6.769,3.554
3524105,Ituverava,37571,2693.11,29,339,123,0.772,9.023,3.274
3524204,Jaborandi,6221,2353.34,1,23,27,0.161,3.697,4.34
3524303,Jaboticabal,71821,3033.73,85,690,244,1.183,9.607,3.397
3524402,Jacareí,240275,2993.49,292,1887,878,1.215,7.854,3.654
3524501,Jaci,7613,2238.97,0,37,30,0,4.86,3.941
3524600,Jacupiranga,16097,2219.35,6,86,63,0.373,5.343,3.914
3524709,Jaguariúna,59347,3503.02,79,766,184,1.331,12.907,3.1
3524808,Jales,48776,3065.55,15,368,240,0.308,7.545,4.92
3524907,Jambeiro,6397,2662.77,2,64,27,0.313,10.005,4.221
3525003,Jandira,118045,2789.51,285,864,434,2.414,7.319,3.677
3525102,Jardinópolis,45282,2574.35,79,430,145,1.745,9.496,3.202
3525201,Jarinu,37535,2415.04,46,239,136,1.226,6.367,3.623
3525300,Jaú,133497,2704.08,44,1414,529,0.33,10.592,3.963
3525409,Jeriquara,3863,2405.34,0,33,17,0,8.543,4.401
3525508,Joanópolis,12815,2596.57,4,73,46,0.312,5.696,3.59
3525607,João Ramalho,4371,2162.7,0,17,22,0,3.889,5.033
3525706,José Bonifácio,36633,2560,12,279,163,0.328,7.616,4.45
3525805,Júlio Mesquita,4254,2000.05,0,14,28,0,3.291,6.582
3525854,Jumirim,3056,2291.35,2,18,6,0.654,5.89,1.963
3525904,Jundiaí,443221,4528.24,745,4542,1272,1.681,10.248,2.87
3526001,Junqueirópolis,20448,2562.29,2,67,107,0.098,3.277,5.233
3526100,Juquiá,17154,1934.5,15,227,120,0.874,13.233,6.995
3526209,Juquitiba,27404,1926.41,121,349,138,4.415,12.735,5.036
3526308,Lagoinha,5083,1740.52,1,26,23,0.197,5.115,4.525
3526407,Laranjal Paulista,26261,2450.41,19,129,83,0.724,4.912,3.161
3526506,Lavínia,9689,2294.04,0,15,19,0,1.548,1.961
3526605,Lavrinhas,7171,2037.21,11,42,24,1.534,5.857,3.347
3526704,Leme,98161,2475.39,119,748,457,1.212,7.62,4.656
3526803,Lençóis Paulista,66505,2851.36,20,465,270,0.301,6.992,4.06
3526902,Limeira,291869,3017.07,535,3394,1076,1.833,11.629,3.687
3527009,Lindóia,7014,2695.34,2,35,33,0.285,4.99,4.705
3527108,Lins,74779,2851.64,23,845,445,0.308,11.3,5.951
3527207,Lorena,84855,2621.63,109,493,311,1.285,5.81,3.665
3527256,Lourdes,1950,2124.07,0,11,16,0,5.641,8.205
3527306,Louveira,51847,3398.75,58,343,179,1.119,6.616,3.452
3527405,Lucélia,20061,2229.43,3,72,138,0.15,3.589,6.879
3527504,Lucianópolis,2372,1931.3,0,12,9,0,5.059,3.794
3527603,Luís Antônio,12265,2277.52,13,59,65,1.06,4.81,5.3
3527702,Luiziânia,4701,2043.39,1,17,23,0.213,3.616,4.893
3527801,Lupércio,3981,1979.77,0,18,23,0,4.521,5.777
3527900,Lutécia,2661,2174.72,1,6,13,0.376,2.255,4.885
3528007,Macatuba,16829,2501,4,65,69,0.238,3.862,4.1
3528106,Macaubal,7481,2310.66,0,25,31,0,3.342,4.144
3528205,Macedônia,3963,2192.42,0,10,14,0,2.523,3.533
3528304,Magda,3165,2380.75,1,5,5,0.316,1.58,1.58
3528403,Mairinque,50027,2513.55,64,337,183,1.279,6.736,3.658
3528502,Mairiporã,93853,3094.33,228,832,423,2.429,8.865,4.507
3528601,Manduri,9871,2448.05,0,36,44,0,3.647,4.458
3528700,Marabá Paulista,4573,2101.45,0,7,13,0,1.531,2.843
3528809,Maracaí,12673,2283.23,1,55,53,0.079,4.34,4.182
3528858,Marapoama,3292,2175.63,0,15,26,0,4.557,7.898
3528908,Mariápolis,3513,1988.09,0,16,7,0,4.555,1.993
